,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
French Polynesia,262818818.57426402,307129062.42119503,337719370.278407,446162848.423933,574540872.527947,714189898.24075,808970218.639404,870355129.309755,1100571441.9591599,1367015604.76515,1558181177.36566,1457363800.14834,1464752358.3271198,1521082070.60651,1570197868.85955,1716110860.01032,2620608542.48199,2895619504.53054,2936769079.64021,2962974476.1613603,3568060961.57644,3684041170.22809,3991655693.99202,3795920457.8607297,3924326846.1475396,4420602334.59682,4260362478.22194,4073680198.53689,4243838924.941,4200532042.62703,3757034434.5366397,3693013029.8136797,3931324088.47872,4922602247.19631,5553092212.7468,5702783145.98018,5872776555.242189,6622397307.63124,7107971421.62782,6558162226.5526,6080711980.37817,6195821515.74647,5693183729.78939,6030112753.3219,6143813743.70407,5323704929.98949,5427129549.666329,5685946206.5526,6099924654.0854
Gabon,409868980.62953997,483139269.772157,544937222.8263121,915055999.179172,1955448641.90261,2732530874.72853,3810952921.8686204,3557496793.70482,3025973772.11942,3837387704.6576295,5421358870.69024,4891487764.26544,4581699101.6635895,4295571665.89155,4509498881.52748,4639097508.72316,4392141585.6766,4300463928.60333,4309517557.16691,4636843738.810289,6039491584.803989,6013426380.8925295,6224479113.46342,6016949368.71732,4664441901.06955,5519177403.62,6337446076.53207,5951611064.16207,5014553027.06672,5162416157.106461,5676783493.11856,5181614350.05799,5403313830.112229,6557291710.084479,7844136206.47483,9578972813.02282,10318424274.6829,12438957208.3719,15508576359.3891,12065153333.6389,14358631009.011002,18186514656.8509,17171467261.0142,17590679583.1957,18179668612.1979,14372290378.6578,14023829320.4768,14929474265.3953,16994077209.9271
Gambia,160123457.554268,167920616.597933,218616303.028253,372531721.535208,487688006.11062694,584746535.078154,537619550.677239,567944222.316123,675161684.0498401,740228039.9697981,837578296.288805,887209641.034235,890597604.7126949,880489734.559223,861844303.346425,1087447882.92059,738796070.596262,826245468.721161,1036326994.6665901,1077303715.48561,1176046782.5476801,1147246779.21749,1187038577.13609,1254823062.695,1240618605.4210699,1306274572.74404,1409712121.0503302,1335580139.5402,1396492932.8861,1354012064.52193,1301145838.8299901,1142424359.86122,960985840.2210081,809425088.091374,961900641.7453619,1027701054.6938301,1054112486.3156,1279703031.3199,1561766954.91915,1450142496.14902,1543294945.17155,1409693592.76766,1415004743.95876,1375609459.25332,1229461732.63909,1378176605.96058,1467254799.56589,1504954083.26284,1632821651.9607
Georgia,,,,,,,,,,,,,,,,,,,,,8877930286.503359,7220152688.76085,4098311494.5435295,2966547599.21628,2715357111.9137397,2843751023.00671,3222645742.79379,3693015455.87669,3801321704.30153,2945566975.1628,3216917301.67833,3386804047.88513,3572285321.3704205,4198839434.67015,5392192488.97816,6744165038.9617605,8147842045.75665,10701691611.3519,13460184476.257,11326537102.5836,12243202092.0044,15107496872.0049,16488836127.196001,17190037477.38,17627390114.7819,14953682859.4196,15141606265.6202,16242672516.0305,17599602272.4605
Germany,215835185843.94397,249984801126.90802,299796651535.539,398380237381.705,445304976648.345,490625926404.57104,519741148214.58295,600491418146.359,740474558349.0709,881309093519.614,950333588904.1559,800458442201.057,776578556331.097,770707786319.521,725107701165.016,732522109396.3241,1046295374584.25,1298187736162.56,1401165212985.78,1399040145509.15,1771646897320.34,1868922773255.67,2131681240867.03,2071251459280.19,2205017031734.87,2585619317334.58,2497313370101.49,2211967994782.94,2238981423878.01,2194140371822.83,1943143892310.14,1944089985771.94,2068718227035.23,2496032414099.91,2809310064380.75,2845731980301.45,2992043438581.01,3421053532018.27,3730166004501.72,3397586387027.86,3396354075663.73,3744408602683.94,3527344944139.83,3732743446218.92,3883920155292.26,3360549973888.58,3466790065011.83,3665804120835.3,3949548833952.94
Ghana,4697713818.69731,5128224573.99089,4481258332.386371,4185592032.02135,4874868774.09775,4664250084.735121,4747223139.4413,5156850046.48336,5987410183.716229,6321202856.619921,6923959064.02008,7314275144.50746,7228610064.020329,7168778648.24445,8069698047.271059,8747801040.37518,9389148814.13216,10082626157.3177,11025768732.1019,11139999506.3057,13213508686.5945,14856385575.9236,14609775908.5359,12662627054.0424,11553353899.1006,13713930860.5816,14707009058.3747,14618192882.8213,15871065350.7184,16371917637.9924,10569787946.6571,11274085579.2545,13079946041.2741,16190785267.1526,18839567115.3744,22764833501.6863,27016173359.2421,32770285941.8656,37761130944.7549,34385605707.6945,42587418803.3053,52369940336.0122,55512769977.8187,63278836051.2781,53601588779.8191,49181519588.6069,55009730589.5442,58994855221.0063,65534787300.8513
Greece,13133730551.4707,14584946181.7758,16877458138.7309,22337302548.8923,25339221677.7493,28537665055.9688,31162068092.4804,36172951519.4375,44255063065.9857,54483506115.8432,56844654351.6552,52344177024.1406,54604773527.8276,49420762154.3329,48021522974.6526,47816312487.7695,56379164103.0022,65645261368.2765,76257905094.4413,79161666984.8471,97892933301.5976,105143669836.325,116219368603.81099,108812265781.265,116607176733.737,136886159074.43301,145858133099.184,143149799676.182,144429819789.577,149154312571.034,131719208897.22198,136190134763.895,153837944476.425,201916317824.463,240531713695.03302,247776839029.001,273303736416.29602,318481589981.352,354473933069.085,329980374578.635,299361576558.217,287797830433.98,245670666639.047,239862011450.103,237028943224.567,196590959044.35898,195222502470.823,203588882261.177,218138831323.92102
Greenland,75968099.93416099,96786120.6427303,115942458.27681799,153153359.476511,185679412.982277,230780976.346037,263112567.981623,308451198.48332596,389006393.070972,459661957.05022,520207001.761647,476166044.82096505,439727150.43148,454786411.40553796,414559799.242775,451171922.717038,658947893.86817,860423278.454458,981956233.5429189,1016041638.4012699,1113490426.49944,1110783448.7053401,1134185944.2026901,1013216025.8032401,1099186690.14821,1321087417.5794802,1308588813.4725099,1171599951.14412,1256510924.97045,1236510245.06038,1167087522.93481,1186916230.83169,1277577634.23354,1558759744.20913,1822499870.6405199,1849802648.3639102,2013106816.6601102,2249811364.5419803,2499092396.11838,2529964060.53747,2503167187.49305,2684461607.93113,2609678694.94479,2684947140.1518,2842065877.15443,2499113085.48255,2707139441.01612,2826654722.99338,3051617310.72163
Grenada,19107860.990446102,24188724.2639272,32322518.224098198,39823907.1805093,41171796.0661998,50648011.8370498,50724923.510268204,56822252.9629629,70196691.11111109,81261571.48148149,88141245.18518521,94555484.4444444,104460465.925926,110351093.703704,119950635.555556,135789878.88888898,152894516.66666698,177198810.74074098,195787013.703704,214418851.48148102,236105088.51851803,247493635.555555,252206137.77777797,251922948.51851803,264363789.259259,278236664.07407403,298353047.407407,321228881.111111,352954138.148148,379913750.740741,520044444.44444406,520444444.44444406,540337037.037037,591018518.518518,599118518.518518,695370370.37037,698700000.0,758685185.185185,825977777.777778,771277777.777778,771014814.814815,778655555.555555,799881481.481481,842570370.37037,911559259.259259,997007941.8518519,1061631212.22222,1125685613.3333302,1168696172.22222
Guatemala,1697371547.0,1769402862.7694,1873527334.0,2290470964.0,2818403439.4092,3250323879.25032,3891563036.89156,4885737800.88574,5411709026.41171,6153863341.15386,7024301145.0243,7673563592.673559,7771269433.771271,8067774569.06777,8442551348.51773,9966708979.0,7530291400.0,6315577199.6,6991683926.19691,7497685493.6171,6819965070.491611,8385345459.8240595,9307709833.03775,10162876159.0758,11574236627.7999,13065576999.2905,14070108845.4648,15855175052.9895,17289952490.2575,16329755014.5486,17195626878.3188,18702820498.9634,20776549868.3461,21917577895.7659,23965287844.38,27211219451.5439,30231127229.3133,34113089265.6521,39136289833.1289,37733815955.1184,41338158764.9603,47654671093.4609,50388426401.9978,53851058897.7625,58722070380.7007,63767471846.1517,68663314482.4829,75619686541.3447,78460812163.5854
Guinea,765478536.763857,847438145.508636,904538719.1813881,969059973.474531,1111718792.97523,1249638844.07378,1422873882.22204,1460607818.61523,1669593563.66056,1786273461.5481398,1998293585.9197898,2200712956.66056,2378738165.73789,2504043043.53971,2630703449.63887,2849591027.25607,2997503306.4351897,3172977760.72778,3492118027.02947,3562030053.79513,3905810913.16587,4126450794.50255,4445767832.2933,4422624188.90301,4633819379.73506,5260154346.51807,5504299589.470261,5374564714.5538,4906120929.52497,4751416770.184979,4269438239.4680295,4075156911.1661205,4079549317.2068896,4765756664.95351,5028105060.97814,4063116991.7953897,4220019258.51945,6281917536.04032,6964179242.06701,6716904515.92155,6853467847.92407,6785137288.81285,7638045173.831309,8376613911.9665,8778473634.44361,8794202415.76308,8603833167.774721,9914962503.3788,11639603011.8403
Guinea-Bissau,280871185.458259,278540808.28415495,326060307.233688,401773489.408615,441499787.93197304,507735070.72002304,457054842.11223495,392906512.08948,453825439.549342,496601157.39793897,468922294.562081,510877169.004002,418291007.204973,419895582.999395,458971673.905941,415300300.711595,461463138.21009004,499550080.827656,472600014.984442,568464842.4042901,609202521.7120019,648699600.258003,684019974.321629,716163552.52768,753127661.248945,799797167.9890981,535821702.15036505,412430332.383877,375693842.273041,405863817.281833,362680624.725067,380098722.390027,408256132.12177,476389969.852476,531109346.81071204,586795627.7577269,591839459.786922,695990233.6630241,864654881.093623,826797828.831193,849050090.5229911,1098378429.52901,989326865.4322491,1045790295.4078599,1053512570.73386,1047436699.19811,1179004190.66852,1350177012.32865,1458868351.12205
Guyana,427060635.78647,452349877.91016394,457871908.88388205,488212950.43994504,683753218.5531911,804261173.05687,710548250.0825679,703356466.158179,792722198.742244,829243953.26637,943061750.9580631,905506046.899735,768645356.589548,773429456.591143,707539903.241135,736617458.276772,828625594.4137781,548739140.3775519,659727352.6,606554059.630874,631896477.698145,555752671.310429,596201720.605588,743980974.271309,869616748.5523161,991383772.668103,1125099837.2644699,1194651695.38568,1144244839.11351,1107944404.79789,1136500133.52519,1135686555.8805099,1157959507.1093302,1184963993.6300302,1256329196.4045699,1315438530.21138,1458448034.2211099,1740337026.49578,1922599414.39515,2025556777.70042,2259290303.7448397,2576598456.1912603,2851153610.8959,2990007019.0243897,3077086772.77295,3179104116.22276,3436624697.3365602,3555208114.8474603,3817717579.6228795
Haiti,439235188.048612,481142893.496229,493342053.05332196,619066985.984564,749829014.2579759,903668047.580734,1165723824.23314,1255904962.0511801,1291977417.0584,1433084373.68662,1835186152.5670397,1878154812.17563,1955074017.9910102,2153207282.23064,2408632092.60072,2664852619.0,2967489907.4,2597747243.0,2613926800.0,2736243800.0,3096289800.0,2995762960.9170003,2111495493.9636102,1806358432.44297,2124936835.10638,2695540556.63899,2970915378.80983,3242691825.03227,3757489591.82456,4088691459.53329,3664504345.6354704,3508113621.40072,3214579360.2271,2826697267.17743,3660483885.6870704,4046639765.65291,4747465060.28638,6174268544.37228,6416376394.8900795,6502330052.42821,6707778175.4587,7473673174.837029,7817562674.50862,8384566807.90884,8650258547.05989,8354846207.36832,7597784385.25318,8521132072.46876,9287266225.325409
Honduras,824353573.587823,872073028.5,957963634.36678,1088600052.0434198,1234144388.24424,1340916667.5,1608145612.0,1991690726.5,2301867180.0,2686008787.5,3061202997.5,3363625039.5,3463835893.5,3670819027.0,3959521726.0,4341873854.0,4543488548.5,4953875856.0,5518158404.0,6164160517.5,3637288571.3706703,3660635635.6739798,4079389505.29746,4182541753.35763,4094775274.11154,4724464403.32158,4867931219.205999,5625875579.122479,6278033544.45251,6471074864.16646,7187324756.9445,7652728800.801359,7860014778.33232,8233819456.28857,8870978910.7012,9757012869.2617,10917476873.546,12361257680.5627,13881731630.9676,14587496229.1811,15839344591.9842,17710275997.4749,18528554861.0515,18499729063.4192,19756533658.0822,20979791685.416,21717608960.1016,23100781744.8189,23969857875.1254
Hungary,6388906324.03981,6953258638.27295,8155392660.317691,10099274415.3771,11069182855.7479,12622019527.4113,14626534131.077,16335178700.2273,19096959625.4709,22049261780.3151,25483141827.8915,26132691669.845,26613373060.0718,24152666924.3775,23417035736.5773,23712895485.4807,27314387214.6517,30019919943.2623,32146934197.5293,32588183005.0984,37192704192.6119,34753391432.4964,38730540974.2254,40125360676.9373,43150769058.1227,46438708027.0613,46658765340.4376,47296961369.1015,48706794878.7712,49073373275.9378,47218411470.2538,53749520053.056,67602793216.6585,85302016584.438,103960000822.047,112980947728.38301,115577256523.599,139965976101.765,158136295851.57098,130760334417.857,131135561228.37401,141109576981.423,128153691809.34698,135409048034.154,140558786480.464,124529741437.176,127507473625.63199,141510583019.556,157882912778.254
Iceland,518902045.473321,660321818.932184,827209910.210986,1133377439.52548,1492718480.8471198,1386078011.87243,1644740675.2709699,2175791271.0320396,2474607015.36403,2811162819.51062,3331296106.08496,3441257822.00635,3159113435.45817,2724977729.3658104,2822002329.09838,2939847399.27564,3930522349.82714,5438539825.59054,6016171227.26369,5588533823.81193,6372907806.67519,6807361089.76249,6976076289.78127,6126457836.587521,6294805446.7184105,7018103769.67667,7330965239.09774,7580989863.69525,8494090804.93247,8971609919.51001,9003645587.3414,8205357028.39745,9294655270.651129,11414057516.667,13834758255.7284,16812538786.9486,17216417560.5586,21514962933.4166,17905248438.8961,13164654535.2484,13683689690.2042,15158548373.1609,14724078264.24,16033517529.2506,17758050018.9682,17389101642.7919,20618363255.7616,24493035576.3415,25882218777.4084
India,62422483000.4339,66898484437.5418,72744178923.7061,86851358250.5713,97977985187.0808,101735373664.19301,102463676507.25699,119039438266.922,137524183975.646,152061725541.558,187032815264.637,199543858660.297,204391186466.12198,222870092879.58102,221946226841.81,230042716846.88,252454324683.833,279184279234.579,308515067299.49396,304013813794.398,329139432438.82697,291200362702.188,293692987227.0,287273815812.538,327525496496.05896,371782719796.995,393646925602.552,425545042367.14294,429550239494.67,461791149191.49396,476148034906.964,490658804655.88104,512774618108.545,599470430508.769,703128958274.182,823611578011.0991,939066417428.797,1184724488413.94,1267470121376.34,1315230229768.39,1669619771817.76,1871918010541.88,1860877235564.14,1917053695705.37,2042939289737.61,2146758608054.85,2286233127073.51,2625091065169.73,2779351532560.23
Indonesia,10439687780.373001,10961574983.1196,12865165685.5325,19035596817.3542,30184091621.5349,35638538510.6449,43598930249.4786,53588883621.44,60194385809.6077,60128483270.2321,84791071590.4779,107633117698.694,110497701822.976,99866050208.7102,102489897480.982,102170683508.279,93656667813.7985,88823900234.9045,103864788559.607,118684188631.139,133857607572.688,149934100042.126,162739961497.735,184838667034.163,206931749137.46802,236456037516.214,265980786649.744,252386467344.60602,111653606038.922,163775688762.697,175702228400.604,170832086611.31302,208325002626.682,249968413218.325,273460976841.45398,304371851840.204,388167834851.47296,460192550124.261,543253872796.141,574505135716.3821,755094157594.2479,892969104529.2329,917869913365.2429,912524136718.018,890814755511.2909,860854232717.853,931877364033.902,1015423457385.31,1042173302566.74
"Iran, Islamic Republic of",10976245142.6079,13731801564.0924,17153470026.0939,27079771796.887,46195583157.2123,52164683819.719,68338555941.025,80533580565.8693,77971515512.6713,90365451874.4385,95617448298.3364,102649318748.166,127191400658.83301,157894503604.104,165603115380.073,76256875907.7135,73591672222.3126,87632619626.4711,92368652811.4551,91047067934.0588,96363628706.6337,105111273426.138,109695030880.71,119239590781.235,114374758108.091,114364442633.71199,125542527212.498,116910894388.658,113072841749.435,118047036759.694,111614883497.08,121521176599.907,150050109594.569,155155859191.714,190043418913.03,226452142533.844,266298910877.716,349881605221.31396,412336177232.435,416397025355.801,491098657663.151,602500579019.227,603007205014.9711,539465961433.39,443976436353.591,393436064752.885,425402616011.173,460976107833.06,473090968125.33704
Iraq,3288608027.8414,3695120655.14425,3710895417.32234,4655090678.27252,5482791020.69812,6851397169.03627,8720599387.08144,9433213520.82854,11937799908.3491,16022183342.9939,17541009396.6776,15748935162.245,16541748833.107,15765093244.0408,16362877481.4331,16877507943.3327,18618292772.1906,22775677195.7836,24298791268.4282,23011489937.9955,23876932100.3736,8363092709.8,9878120684.71428,7055254141.432429,5642909662.60917,4863142892.91935,8529100615.38803,9323349168.71652,11891646228.9747,20749777836.8824,23656880816.1713,24733102823.7107,24390082338.997997,23143469235.1239,36638237233.3104,49954890353.2609,64805393084.7458,88840049180.8861,123534120144.565,128682277722.55,138516722649.573,185749664444.44397,218000992453.90802,234637675128.645,228415656174.957,166774104911.48,166602488747.885,190643898226.351,212271807144.367
Ireland,4401609459.19308,5104736348.30407,6325739447.723021,7490563149.8009205,7905754599.33721,9495597935.38361,9464787116.09514,11261729173.9044,14666109031.1435,18341642596.6675,21773477061.2002,20695316507.458,21500261606.3209,20790302776.2082,20130705884.3098,21295780949.8486,28749619823.6043,33960032182.0206,37816237986.6811,39287347300.4038,49366684939.8452,49848069522.3077,55989142524.1279,52478468174.2796,57167210293.6681,69224579726.4587,75878495772.0258,82828712306.9772,90082029875.3758,98689201299.5883,99852881341.6856,109134277331.746,127955380509.18301,164277880985.778,193879540242.00198,211643770536.73602,232071579140.44897,269904089874.93802,275049084419.685,236302171406.651,222148761286.279,237472361872.56,224999483976.367,238543538776.684,258471885130.304,291499811992.73804,300523297602.345,335663114185.66,382674360648.245
Israel,6028873215.58475,6378543639.33476,8379881222.864359,10777698743.0945,14652248024.8926,14514340726.4076,15293105377.2712,16596581037.628,16387701640.1217,21124965486.0853,23998852333.7862,25456591642.8624,27816127334.4682,31018156925.7862,29097529692.5916,27447634888.572998,34024144971.8566,40875155942.2441,49991868378.5023,49795481981.4758,58886598132.6026,67414196888.2567,75446843555.1188,75824867839.9341,86160448853.9421,100385079514.605,109997573950.77802,114693679939.699,115933614415.505,117111070475.83801,132341955853.49901,130757903177.86801,121123190240.247,126965056571.32,135477939126.652,142528911558.259,154034030248.90698,178960054876.443,216103890322.202,207466300772.543,233995677852.887,261468635991.89603,257180148510.388,292636165523.86304,309558456256.07,299813122576.219,318950600319.397,353253408371.81104,370587978546.12396
Italy,113400387747.915,124676711852.214,145256807739.211,175496591428.192,199579759601.495,227717152519.904,224735495700.31198,257587527375.851,315059737068.258,393673270856.449,477237117177.884,430710094511.57104,427264619511.221,443031247122.924,437890321861.71295,452197759141.372,640353823153.9971,805756108951.129,891563195749.063,928625859402.2621,1176421664290.78,1240517846039.31,1313803569819.11,1059643079790.55,1093920698704.44,1174698698393.39,1312483174456.7,1241913280989.31,1270086120998.62,1251987375880.03,1143828954126.78,1167002353446.5,1270770111571.05,1574085122752.04,1803305333606.5,1857478112719.49,1947819927260.87,2210179192828.18,2398945461192.8,2191109883224.79,2134017843247.16,2291991045770.29,2087077032435.15,2141315327318.21,2159133919743.77,1835899237320.04,1875579883543.09,1961806364484.94,2084882364034.35
Jamaica,1735587593.78216,1899612250.07595,2312146044.0935,2371209434.04315,2945629165.69918,3547660542.96054,3678489477.3894796,4030322453.22245,3279920719.72214,3017123959.10615,3322969000.75388,3694593490.4147205,4084666929.23885,4488547318.036679,2943634177.13135,2604740615.49547,3146579420.6217,3761290057.47266,4396778188.06258,5048773730.36032,5277024581.34542,4716934272.01915,4222642881.4020705,5440075675.74067,5452558892.09714,6577520705.212689,7393891854.40649,8400041802.63507,8787195622.43502,8887058073.23538,9005069387.42419,9194725544.01718,9719001963.561241,9430240115.46067,10174661927.9967,11243859050.4093,11930186771.9213,12799597771.6873,13709404612.4685,12120459315.5488,13220545745.5096,14444830478.4229,14806897133.1997,14284905431.0139,13897800907.721,14196460315.5768,14075898359.0734,14806335709.2628,15713914251.1693
Japan,212609187708.815,240151811888.452,318031297493.731,432082723461.46295,479625998616.007,521541905673.368,586161859002.667,721411786538.978,1013612334076.15,1055012119531.37,1105385811262.72,1218988750886.49,1134518153718.18,1243323766554.87,1318381627007.46,1398892549340.87,2078952922458.3,2532808573157.03,3071683812149.67,3054913797217.04,3132817652848.04,3584420964070.08,3908808434705.25,4454144444407.89,4907039104408.91,5449117511910.34,4833714467769.64,4414734211850.09,4032509740336.41,4562078622080.57,4887519736333.67,4303542577787.9,4115115650037.88,4445659445309.57,4815168028753.18,4755410127548.95,4530376770501.67,4515263396033.39,5037908759111.51,5231383284722.86,5700098114744.41,6157459594823.72,6203213121334.12,5155717056270.83,4850413536037.84,4389475622588.97,4926667087367.51,4859950558538.97,4971323079771.87
Jordan,599335947.744425,639887349.436745,712054591.769702,815437481.326053,942346491.244252,1233132014.80067,1590820045.95859,1957685572.86197,2588614709.4924,3135241851.72667,4054959557.11995,4324239437.075271,4600295192.60586,4809257060.49211,4908372408.05591,5172734903.49872,6246860044.07424,6593587463.76035,6112972910.22396,4171536883.29507,4062240711.4535203,4237114815.81663,5374598160.78315,5664348002.75673,6301835320.21414,6802365465.76668,7000395433.00423,7321598430.183359,7994956126.93935,8234743414.66855,8549010734.8378,9069579537.57498,9682509718.97266,10301694842.031,11530400913.9633,12720089001.4104,15214123884.3441,17289219507.9707,22202260687.079,23943523759.1549,26519613015.492996,28907531391.5493,30935216952.1127,33617448302.8169,36050436381.6901,37922655823.9437,39196678667.6056,40709154929.5775,42230985915.493
Kazakhstan,,,,,,,,,,,,,,,,,,,,,29674935156.4465,27317651192.559,26454042866.4105,24579181789.7093,21948619241.1702,20561542558.6515,21035357832.6977,22165932062.966,22135245413.1369,16870817134.7296,18291990619.137,22152689129.5582,24636596623.8073,30833690825.7239,43151644797.2948,57123671733.8952,81003864915.5433,104849915343.556,133441649221.732,115308687201.97,148047348240.643,192626464179.147,207998568865.78897,236634603927.583,221415614007.347,184388404428.84302,137278320084.17099,166805788966.78,179339977517.06198
Kenya,2518484858.66016,2790991077.13781,3129426215.00763,3691435405.46909,4401949606.4528,4826821542.60229,5144374598.2993,6649694546.246679,7873192912.096029,9030320812.68839,10517622637.6379,9918625972.974,9553271323.96928,8882283778.50721,9197712817.84845,9110397714.62908,10746604424.2533,11831200665.4313,12645507897.2903,12379188572.0559,12664487849.1453,11937643951.2455,11800663791.9204,8192962677.77178,10425507979.0885,13427994365.3133,13740574204.7721,14958503707.4296,16085592799.01,14688214745.3925,14464785519.6435,14900116876.6367,15092273297.2095,17104697953.6943,18471265254.2474,21505531868.978,25826241129.9493,31959312213.7606,35896878739.3671,37022301855.3666,39999677643.4324,41953451738.4743,50410158302.4948,55096743583.064,61448072095.3167,64007780607.5099,69188776301.7165,78757378911.96901,87905681676.9801
Kingdom of Eswatini,154722301.772968,192226876.867058,211230630.447947,274148157.351801,339271265.67745,396139644.110439,405063303.647771,450391386.208355,504478082.6613231,598255665.3748981,806255185.6084441,891434222.110902,827560885.2086401,878968285.808942,718719960.264886,538714750.3797491,679581469.186012,898369183.8705981,1048955056.0982301,1084195583.33039,1254402646.2379801,1330617839.6887,1474649318.77092,1492496469.6948302,1590577715.15232,1901652230.37232,1793683570.01321,1927098015.42765,1774168644.43021,1730527900.8143198,1738093758.7553198,1542462829.74851,1432221788.5893,2197598420.61298,2770043118.77075,3178165828.3094397,3291270498.2944,3469373126.87135,3294064196.30345,3580383129.37321,4438739895.120279,4820460413.3517,4886620378.797621,4597694687.85444,4422327760.7787895,4073382047.76425,3840754214.3476,4446225564.36951,4710627492.807071
Kiribati,20195539.7137098,21430747.140831895,27169697.9238103,44433101.8689116,80479969.6225392,77537687.2444639,57869940.3084686,54541384.4754153,63480798.793672495,60575947.344880894,33498023.1774886,39484775.017064005,38920791.75881379,36729746.9228867,40323356.00343929,29975261.464693703,28959457.972306702,33677322.8864709,43414170.8065031,41607871.811565705,39997533.5465254,47371781.6277368,48085719.636372104,47041666.439995706,54810755.857700706,55981228.02823511,66867613.125034206,67227736.0507058,65638636.2851103,69158418.65866639,74699282.24671851,65237173.5906292,73728349.3497233,94201434.90477471,102370593.913231,112136214.814098,110237121.11658001,132674383.35331102,141045081.34269598,132421059.72583501,156125959.664965,181712053.35904,190122806.01395202,185105678.305979,178875259.606006,169141775.99402902,181549598.319417,185578464.177401,188524873.796556
Kosovo,,,,,,,,,,,,,,,,,,,,,4423830273.116261,4076389690.7571797,3117977951.49051,2398290516.54117,2448458523.02611,5303776344.60671,3414445753.7167,3152243003.3991103,2785656843.3243103,1881251964.93176,1695499627.86405,2519062573.9367,2828697004.85153,3280907485.69703,3562708350.87196,3679739079.98806,3857329111.02074,4667518257.685921,5687572625.83835,5653482726.036429,5830068777.22859,6692847485.08401,6499813169.24195,7072365481.8035,7386582142.380421,6440360765.03868,6714465856.83263,7245618040.198841,7942997289.89882
Kuwait,2872798856.05149,3880957237.8860397,4447500673.35633,5405089807.21373,13003518988.0662,12015901716.76,13119579689.3434,14139849159.1461,15502480944.1188,24749780950.8696,28690618372.6282,25248817579.7704,21583058728.5066,20869595122.0896,21701541634.2272,21446152291.911,17904664463.303,22367499123.0455,20689587202.7753,24314160879.7757,18470818671.8899,11014231800.0,19868859615.2185,23956511857.6617,24859339674.9688,26554064403.2114,31492085246.4151,30351196173.211002,25945377089.6578,30123384331.0222,37717816724.118996,34889597791.4124,38135756834.1741,47873988053.0005,59436715303.6987,80797945205.4795,101558975067.651,114635467557.81801,147380280181.246,105967843517.66699,115416047508.328,154040737004.695,174047199612.935,174167626656.763,162656226123.87198,114584570271.714,109406473660.017,119534250494.29301,141698143665.104
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,2607989573.11215,2482002455.44991,2187282506.8608103,1892954713.3515801,1545054731.87021,1491893739.99905,1826706229.1374898,1767355779.86838,1640373876.02839,1249598370.2377,1370076478.82944,1527209963.9040198,1605696847.978,1921528579.2426398,2212211700.95387,2460246796.05234,2834168893.2726603,3802570572.37516,5139958956.02389,4690061344.16421,4794361821.20611,6197765941.67975,6605136482.00152,7335033799.26212,7468102369.13654,6678177483.42949,6813095396.14317,7702938395.18458,8092834219.073509
Lao People's Democratic Republic,119107629.95768201,131388502.541073,141799339.277272,162626862.655302,183718327.216806,214127474.265522,232589532.11606202,242114409.24273598,261722701.761233,277773202.981129,333162720.227466,420600314.26648504,478220949.333339,520234133.738721,577634765.7763491,626114174.184913,669925953.659225,676701903.060001,686489223.081936,814638210.834373,901795440.2400131,1071274658.5008401,1228791031.16035,1387010213.97279,1608568307.2348099,1852406521.2603602,1952594427.1796,1819883135.8960302,1339287475.6117198,1515458802.89903,1806027495.0590198,1827359032.1773,1906867795.9573698,2184279301.3394103,2576838115.27858,2946350267.5131,3605985899.8455896,4570008380.41215,5731763438.69235,6056946699.40285,7313450658.62325,8741715071.94783,10191355070.3802,11942233834.9679,13268421706.3065,14390446134.0629,15805692481.4587,16853104545.2697,17953809484.181
Latvia,,,,,,,,,,,,,,,,,,,,,9628493634.902,8917631297.10108,5941431399.133121,5177857738.59194,5322584077.6778,5390136128.78345,5951653084.65184,6508708675.39005,7146245317.691999,7517889784.043291,7934464801.44435,8334327943.91825,9529867625.58322,11731187519.643,14355629227.556002,16908957718.3319,21437100693.6942,30899685275.6584,35655888921.2409,26253351506.2645,23803903581.0321,28490700600.9577,28176625841.4665,30272575977.942,31382778819.6844,27090019662.7977,27734140217.3664,30273007510.3024,34426040343.9294
Lebanon,1989537972.45511,2235674197.34251,2788620191.36114,3636868415.3132796,4672176710.7622795,4354636643.90493,1908332324.55795,3572083752.4910703,3980333806.0247297,4596848302.39668,5447032426.1547,5206435562.5062,3550854621.63595,3762840686.0972795,2642991314.37528,2275418244.2165103,2808570210.20984,2180269235.54555,3476945820.59722,2852034523.5890303,2950195892.25939,4355716759.11563,5734175736.137071,7909021591.306621,9363549454.47481,11505957448.5537,13632418312.4071,15595116149.215,16910071490.3666,17008982361.8409,16678538575.0415,17065269990.9128,18712361081.1496,19801577178.6806,21145518599.8726,21489950248.7562,22048689883.9138,24873499170.8126,29227529021.5589,35477280265.34,38419635157.5456,40075688225.539,44230727759.0706,46866579707.2577,48296099622.9778,49973893304.395996,51239050033.6418,53393799594.6003,56409423874.3429
