Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Estonia,1.5,3.55,5.6,7.6499999999999995,9.7,10.44,11.18,11.92,12.66,13.4,12.32,11.24,10.16,9.08,8.0,9.74,11.48,13.219999999999999,14.959999999999999,16.7,12.3,10.0,8.6,7.4,6.2,6.8,5.8
Eswatini (Kingdom of),20.4,20.724999999999998,21.049999999999997,21.375,21.7,22.34,22.98,23.619999999999997,24.259999999999998,24.9,25.58,26.259999999999998,26.939999999999998,27.62,28.3,28.1,27.900000000000002,27.7,27.5,27.3,26.7,26.0,25.4,24.5,23.6,22.7,22.3
Ethiopia,2.9,3.0,3.0999999999999996,3.1999999999999997,3.3,3.32,3.34,3.36,3.38,3.4,3.2199999999999998,3.04,2.86,2.6799999999999997,2.5,2.48,2.46,2.44,2.42,2.4,2.3,2.2,2.3,2.1,2.0,1.9,1.8
Fiji,3.7,3.8,3.9,4.0,4.1,4.12,4.14,4.16,4.18,4.2,4.140000000000001,4.08,4.02,3.96,3.9,4.0,4.1,4.2,4.300000000000001,4.4,4.4,4.5,4.4,4.5,4.6,4.3,4.1
Finland,6.5,9.125,11.75,14.375,17.0,15.82,14.64,13.459999999999999,12.28,11.1,10.56,10.02,9.48,8.940000000000001,8.4,8.4,8.4,8.4,8.4,8.4,7.8,7.7,8.2,8.7,9.4,8.8,8.6
France,9.1,9.775,10.45,11.125,11.8,11.48,11.16,10.84,10.52,10.2,9.86,9.52,9.18,8.84,8.5,8.58,8.66,8.74,8.82,8.9,8.8,9.4,9.9,10.3,10.4,10.1,9.4
Gabon,16.9,17.075,17.25,17.425,17.6,17.6,17.6,17.6,17.6,17.6,17.46,17.32,17.18,17.04,16.9,17.599999999999998,18.299999999999997,19.0,19.7,20.4,20.4,20.2,20.1,19.9,20.0,19.6,19.4
Gambia,9.7,9.85,10.0,10.15,10.3,10.360000000000001,10.42,10.48,10.54,10.6,10.42,10.24,10.059999999999999,9.879999999999999,9.7,9.7,9.7,9.7,9.7,9.7,9.6,9.4,9.7,9.6,9.5,9.4,8.9
Georgia,2.7,3.925,5.15,6.375,7.6,8.24,8.88,9.52,10.16,10.8,11.4,12.0,12.600000000000001,13.200000000000001,13.8,14.52,15.24,15.959999999999999,16.68,17.4,17.3,17.2,16.9,14.6,14.1,14.0,13.9
Germany,5.3,6.0249999999999995,6.75,7.475,8.2,8.139999999999999,8.08,8.02,7.96,7.9,8.56,9.22,9.879999999999999,10.54,11.2,10.36,9.52,8.68,7.84,7.0,5.8,5.4,5.2,5.0,4.6,4.1,3.8
Ghana,4.6,5.074999999999999,5.55,6.025,6.5,7.28,8.06,8.84,9.620000000000001,10.4,9.42,8.44,7.46,6.48,5.5,5.46,5.42,5.38,5.34,5.3,5.9,6.0,6.4,6.5,6.8,6.8,6.6
Greece,7.7,8.05,8.4,8.75,9.1,9.54,9.98,10.42,10.860000000000001,11.3,11.040000000000001,10.780000000000001,10.52,10.26,10.0,10.54,11.08,11.62,12.16,12.7,17.9,24.4,27.5,26.5,24.9,23.5,21.5
Guatemala,2.6,2.675,2.75,2.825,2.9,2.9,2.9,2.9,2.9,2.9,2.92,2.94,2.96,2.98,3.0,3.1,3.2,3.3,3.4,3.5,4.1,2.8,3.0,2.7,2.5,2.8,2.7
Guinea,3.9,4.025,4.15,4.275,4.4,4.4,4.4,4.4,4.4,4.4,4.36,4.32,4.28,4.24,4.2,4.22,4.24,4.26,4.28,4.3,4.2,4.1,4.2,4.2,4.2,3.7,3.6
Guinea-Bissau,4.0,4.15,4.3,4.449999999999999,4.6,4.62,4.64,4.66,4.68,4.7,4.66,4.62,4.58,4.54,4.5,4.48,4.46,4.44,4.42,4.4,4.4,4.5,4.5,4.3,4.3,4.2,4.0
Guyana,12.0,12.075,12.15,12.225000000000001,12.3,12.22,12.14,12.06,11.98,11.9,11.74,11.58,11.42,11.26,11.1,11.219999999999999,11.34,11.459999999999999,11.58,11.7,11.7,11.9,12.3,12.4,12.6,12.3,12.1
Haiti,6.8,6.9,7.0,7.1,7.2,7.42,7.640000000000001,7.86,8.08,8.3,9.620000000000001,10.940000000000001,12.26,13.58,14.9,15.040000000000001,15.18,15.32,15.459999999999999,15.6,14.9,14.1,14.1,13.9,13.7,13.7,13.4
Honduras,4.6,4.25,3.9,3.55,3.2,3.3600000000000003,3.52,3.68,3.84,4.0,4.18,4.36,4.54,4.720000000000001,4.9,4.74,4.58,4.42,4.26,4.1,4.5,3.8,4.1,5.5,4.6,4.7,4.1
"Hong Kong, China (SAR)",1.8,2.15,2.5,2.85,3.2,3.54,3.8800000000000003,4.220000000000001,4.5600000000000005,4.9,5.04,5.18,5.32,5.46,5.6,5.34,5.08,4.82,4.56,4.3,3.4,3.3,3.4,3.3,3.3,3.4,3.1
Hungary,9.7,9.825,9.95,10.075,10.2,9.479999999999999,8.76,8.04,7.319999999999999,6.6,6.72,6.84,6.96,7.08,7.2,8.0,8.8,9.6,10.399999999999999,11.2,11.0,11.0,10.2,7.7,6.8,5.1,4.2
Iceland,2.6,3.25,3.9000000000000004,4.550000000000001,5.2,4.54,3.88,3.22,2.56,1.9,2.04,2.18,2.3200000000000003,2.46,2.6,3.6,4.6,5.6,6.6,7.6,7.0,6.0,5.4,4.9,4.0,3.0,2.7
India,2.4,2.45,2.5,2.55,2.6,2.62,2.64,2.66,2.68,2.7,2.7800000000000002,2.8600000000000003,2.94,3.02,3.1,2.96,2.82,2.6799999999999997,2.54,2.4,2.5,2.7,2.8,2.8,2.8,2.7,2.6
Indonesia,2.5,2.875,3.25,3.625,4.0,4.42,4.84,5.26,5.68,6.1,6.4799999999999995,6.859999999999999,7.24,7.62,8.0,7.52,7.04,6.56,6.08,5.6,5.2,4.5,4.3,4.1,4.5,4.3,4.2
Iran (Islamic Republic of),11.1,10.775,10.45,10.125,9.8,10.18,10.56,10.94,11.32,11.7,11.78,11.86,11.94,12.02,12.1,12.379999999999999,12.66,12.94,13.22,13.5,12.5,12.6,10.4,10.6,11.1,12.4,12.1
Iraq,10.4,10.175,9.95,9.725,9.5,9.46,9.42,9.38,9.34,9.3,9.32,9.34,9.360000000000001,9.38,9.4,9.24,9.08,8.92,8.76,8.6,8.2,8.0,8.0,7.9,8.1,8.1,7.9
Ireland,15.8,14.850000000000001,13.9,12.95,12.0,10.46,8.92,7.38,5.84,4.3,4.3,4.3,4.3,4.3,4.3,6.34,8.379999999999999,10.42,12.46,14.5,15.4,15.5,13.8,11.9,9.9,8.4,6.7
Israel,13.4,12.25,11.100000000000001,9.950000000000001,8.8,9.26,9.72,10.18,10.64,11.1,11.14,11.18,11.22,11.26,11.3,10.74,10.18,9.620000000000001,9.06,8.5,7.1,6.9,6.2,5.9,5.3,4.8,4.2
Italy,10.1,10.5,10.899999999999999,11.299999999999999,11.7,11.52,11.34,11.16,10.98,10.8,10.18,9.56,8.940000000000001,8.32,7.7,7.84,7.98,8.120000000000001,8.26,8.4,8.4,10.7,12.2,12.7,11.9,11.7,11.2
Jamaica,15.7,15.825,15.95,16.075,16.2,16.06,15.92,15.78,15.64,15.5,14.66,13.82,12.98,12.14,11.3,11.520000000000001,11.74,11.96,12.18,12.4,12.7,13.9,15.3,13.7,13.5,13.2,11.7
Japan,2.1,2.375,2.6500000000000004,2.9250000000000003,3.2,3.5,3.8000000000000003,4.1,4.4,4.7,4.640000000000001,4.58,4.5200000000000005,4.46,4.4,4.54,4.68,4.82,4.96,5.1,4.5,4.3,4.0,3.6,3.4,3.1,2.8
Jordan,19.5,18.275,17.05,15.825,14.6,14.42,14.24,14.059999999999999,13.879999999999999,13.7,13.92,14.14,14.36,14.58,14.8,14.34,13.88,13.42,12.96,12.5,12.9,12.2,12.6,11.9,13.1,15.3,14.9
Kazakhstan,0.9,3.425,5.95,8.475,11.0,11.36,11.72,12.08,12.440000000000001,12.8,11.860000000000001,10.92,9.98,9.04,8.1,7.64,7.18,6.72,6.26,5.8,5.4,5.3,5.2,5.1,4.9,5.0,4.9
Kenya,8.9,9.125,9.350000000000001,9.575000000000001,9.8,9.82,9.84,9.860000000000001,9.88,9.9,9.88,9.860000000000001,9.84,9.82,9.8,9.780000000000001,9.76,9.74,9.719999999999999,9.7,9.7,9.7,9.8,9.6,9.7,9.6,9.3
Korea (Democratic People's Rep. of),3.6,3.725,3.8499999999999996,3.9749999999999996,4.1,4.14,4.18,4.22,4.26,4.3,4.22,4.14,4.06,3.98,3.9,3.86,3.82,3.7800000000000002,3.74,3.7,3.7,3.6,3.7,3.6,3.5,3.5,3.3
Korea (Republic of),2.4,2.325,2.25,2.175,2.1,2.56,3.0200000000000005,3.4800000000000004,3.9400000000000004,4.4,4.260000000000001,4.12,3.9800000000000004,3.8400000000000003,3.7,3.7,3.7,3.7,3.7,3.7,3.4,3.2,3.1,3.5,3.6,3.7,3.7
Kuwait,0.7,0.7,0.7,0.7,0.7,0.72,0.74,0.76,0.78,0.8,0.9400000000000001,1.08,1.22,1.3599999999999999,1.5,1.56,1.62,1.6800000000000002,1.74,1.8,2.1,2.4,2.7,2.9,2.2,2.2,2.0
Kyrgyzstan,1.0,2.15,3.3,4.449999999999999,5.6,5.9799999999999995,6.359999999999999,6.74,7.12,7.5,7.62,7.74,7.859999999999999,7.9799999999999995,8.1,8.2,8.299999999999999,8.4,8.5,8.6,8.5,8.4,8.3,8.1,7.6,7.2,6.9
Lao People's Democratic Republic,2.2,2.3000000000000003,2.4000000000000004,2.5,2.6,2.48,2.36,2.24,2.12,2.0,1.88,1.76,1.64,1.52,1.4,1.26,1.1199999999999999,0.98,0.84,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6
Latvia,2.7,6.775,10.850000000000001,14.925,19.0,18.04,17.08,16.119999999999997,15.16,14.2,13.36,12.52,11.68,10.84,10.0,11.9,13.8,15.7,17.6,19.5,16.2,15.1,11.9,10.9,9.9,9.6,8.7
Lebanon,8.2,8.274999999999999,8.35,8.425,8.5,8.48,8.46,8.44,8.42,8.4,8.4,8.4,8.4,8.4,8.4,8.02,7.640000000000001,7.26,6.88,6.5,6.4,6.4,6.4,6.3,6.2,6.3,6.1
