Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Guinea-Bissau,132.3,129.8,127.30000000000001,124.8,122.3,119.8,117.06,114.32,111.58,108.83999999999999,106.1,102.83999999999999,99.58,96.32,93.06,89.8,86.3,82.8,79.3,75.8,72.3,69.1,66.2,63.6,61.4,59.3,57.4
Guyana,46.6,45.58,44.56,43.54,42.52,41.5,40.64,39.78,38.92,38.06,37.2,36.480000000000004,35.760000000000005,35.04,34.32,33.6,33.02,32.44,31.86,31.28,30.7,30.1,29.5,28.9,28.3,27.5,26.7
Haiti,100.3,97.7,95.1,92.5,89.89999999999999,87.3,84.74,82.17999999999999,79.62,77.06,74.5,72.76,71.02,69.28,67.53999999999999,65.8,70.03999999999999,74.28,78.52,82.75999999999999,87.0,59.6,58.8,57.9,57.0,56.1,55.0
Honduras,45.1,43.5,41.9,40.3,38.7,37.1,35.800000000000004,34.5,33.2,31.900000000000002,30.6,29.42,28.240000000000002,27.060000000000002,25.88,24.7,23.78,22.86,21.94,21.02,20.1,19.3,18.6,18.0,17.3,16.7,16.2
Hungary,15.2,14.32,13.44,12.56,11.68,10.8,10.38,9.96,9.54,9.12,8.7,8.24,7.779999999999999,7.32,6.86,6.4,6.140000000000001,5.88,5.62,5.359999999999999,5.1,4.9,4.8,4.7,4.5,4.3,4.1
Iceland,5.0,4.82,4.64,4.46,4.279999999999999,4.1,3.92,3.7399999999999998,3.56,3.38,3.2,3.06,2.92,2.7800000000000002,2.64,2.5,2.4,2.3,2.2,2.1,2.0,2.0,1.9,1.8,1.8,1.7,1.7
India,88.5,86.38,84.26,82.14,80.02000000000001,77.9,75.66000000000001,73.42,71.18,68.94,66.7,64.5,62.300000000000004,60.1,57.900000000000006,55.7,53.620000000000005,51.54,49.46,47.379999999999995,45.3,43.2,41.1,39.1,37.2,35.3,33.6
Indonesia,61.8,59.519999999999996,57.239999999999995,54.959999999999994,52.68,50.4,48.5,46.6,44.7,42.8,40.9,39.42,37.94,36.46,34.98,33.5,32.3,31.1,29.9,28.7,27.5,26.4,25.4,24.5,23.7,22.9,22.2
Iran (Islamic Republic of),43.7,42.06,40.42,38.78,37.14,35.5,34.04,32.58,31.119999999999997,29.66,28.2,26.919999999999998,25.64,24.36,23.08,21.8,20.8,19.8,18.8,17.8,16.8,16.1,15.4,14.9,14.3,13.8,13.3
Iraq,42.2,41.56,40.92,40.28,39.64,39.0,38.38,37.76,37.14,36.519999999999996,35.9,35.36,34.82,34.28,33.74,33.2,32.6,32.0,31.400000000000002,30.8,30.2,29.5,28.9,28.1,27.4,26.7,26.0
