Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Estonia,42.0,42.2,42.4,42.6,42.8,43.0,39.6,36.2,32.8,29.4,26.0,23.8,21.6,19.4,17.2,15.0,13.6,12.2,10.8,9.4,8.0,10.0,9.0,9.0,9.0
Eswatini (Kingdom of),635.0,615.4,595.8,576.2,556.6,537.0,546.8,556.6,566.4,576.2,586.0,587.8,589.6,591.4,593.2,595.0,563.2,531.4,499.6,467.8,436.0,418.0,400.0,413.0,400.0
Ethiopia,1250.0,1216.0,1182.0,1148.0,1114.0,1080.0,1043.4,1006.8,970.2,933.6,897.0,866.2,835.4,804.6,773.8,743.0,699.0,655.0,611.0,567.0,523.0,482.0,447.0,410.0,378.0
Fiji,63.0,60.6,58.2,55.8,53.4,51.0,49.2,47.4,45.6,43.8,42.0,41.4,40.8,40.2,39.6,39.0,38.0,37.0,36.0,35.0,34.0,33.0,33.0,32.0,31.0
Finland,6.0,5.8,5.6,5.4,5.2,5.0,5.0,5.0,5.0,5.0,5.0,4.8,4.6,4.4,4.2,4.0,3.8,3.6,3.4,3.2,3.0,3.0,3.0,3.0,3.0
France,15.0,15.0,15.0,15.0,15.0,15.0,14.4,13.8,13.2,12.6,12.0,11.6,11.2,10.8,10.4,10.0,9.8,9.6,9.4,9.2,9.0,9.0,9.0,9.0,9.0
Gabon,422.0,418.6,415.2,411.8,408.4,405.0,405.0,405.0,405.0,405.0,405.0,398.0,391.0,384.0,377.0,370.0,360.4,350.8,341.2,331.6,322.0,317.0,314.0,308.0,295.0
Gambia,1030.0,1019.4,1008.8,998.2,987.6,977.0,959.0,941.0,923.0,905.0,887.0,871.0,855.0,839.0,823.0,807.0,796.2,785.4,774.6,763.8,753.0,753.0,741.0,730.0,719.0
Georgia,34.0,34.2,34.4,34.6,34.8,35.0,35.4,35.8,36.2,36.6,37.0,37.0,37.0,37.0,37.0,37.0,37.6,38.2,38.8,39.4,40.0,39.0,39.0,38.0,37.0
Germany,11.0,10.6,10.2,9.8,9.4,9.0,8.8,8.6,8.4,8.2,8.0,7.8,7.6,7.4,7.2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0
Ghana,634.0,613.6,593.2,572.8,552.4,532.0,519.0,506.0,493.0,480.0,467.0,448.8,430.6,412.4,394.2,376.0,365.8,355.6,345.4,335.2,325.0,320.0,324.0,321.0,322.0
Greece,5.0,4.8,4.6,4.4,4.2,4.0,4.0,4.0,4.0,4.0,4.0,3.8,3.6,3.4,3.2,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Grenada,41.0,40.2,39.4,38.6,37.8,37.0,35.4,33.8,32.2,30.6,29.0,28.2,27.4,26.6,25.8,25.0,25.4,25.8,26.2,26.6,27.0,27.0,27.0,27.0,27.0
Guatemala,205.0,198.6,192.2,185.8,179.4,173.0,174.0,175.0,176.0,177.0,178.0,166.4,154.8,143.2,131.6,120.0,117.8,115.6,113.4,111.2,109.0,103.0,105.0,99.0,93.0
Guinea,1040.0,1024.8,1009.6,994.4,979.2,964.0,966.4,968.8,971.2,973.6,976.0,947.0,918.0,889.0,860.0,831.0,808.8,786.6,764.4,742.2,720.0,711.0,695.0,695.0,688.0
Guinea-Bissau,907.0,881.6,856.2,830.8,805.4,780.0,784.0,788.0,792.0,796.0,800.0,782.8,765.6,748.4,731.2,714.0,685.2,656.4,627.6,598.8,570.0,563.0,553.0,554.0,553.0
Guyana,171.0,177.8,184.6,191.4,198.2,205.0,206.0,207.0,208.0,209.0,210.0,214.4,218.8,223.2,227.6,232.0,233.8,235.6,237.4,239.2,241.0,239.0,239.0,236.0,233.0
Haiti,625.0,608.8,592.6,576.4,560.2,544.0,536.2,528.4,520.6,512.8,505.0,495.8,486.6,477.4,468.2,459.0,445.0,431.0,417.0,403.0,389.0,369.0,372.0,370.0,367.0
Honduras,272.0,250.8,229.6,208.4,187.2,166.0,159.4,152.8,146.2,139.6,133.0,136.4,139.8,143.2,146.6,150.0,151.0,152.0,153.0,154.0,155.0,149.0,141.0,135.0,132.0
Hungary,24.0,23.2,22.4,21.6,20.8,20.0,19.0,18.0,17.0,16.0,15.0,14.8,14.6,14.4,14.2,14.0,14.2,14.4,14.6,14.8,15.0,16.0,16.0,16.0,16.0
Iceland,7.0,6.8,6.6,6.4,6.2,6.0,5.8,5.6,5.4,5.2,5.0,4.8,4.6,4.4,4.2,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0
India,556.0,539.0,522.0,505.0,488.0,471.0,451.6,432.2,412.8,393.4,374.0,355.2,336.4,317.6,298.8,280.0,267.0,254.0,241.0,228.0,215.0,206.0,197.0,189.0,181.0
Indonesia,446.0,422.0,398.0,374.0,350.0,326.0,313.8,301.6,289.4,277.2,265.0,254.4,243.8,233.2,222.6,212.0,202.6,193.2,183.8,174.4,165.0,156.0,148.0,140.0,133.0
Iran (Islamic Republic of),123.0,114.4,105.8,97.2,88.6,80.0,74.2,68.4,62.6,56.8,51.0,47.6,44.2,40.8,37.4,34.0,32.6,31.2,29.8,28.4,27.0,27.0,26.0,26.0,26.0
Iraq,107.0,103.0,99.0,95.0,91.0,87.0,82.2,77.4,72.6,67.8,63.0,61.2,59.4,57.6,55.8,54.0,53.4,52.8,52.2,51.6,51.0,51.0,51.0,50.0,50.0
Ireland,11.0,10.8,10.6,10.4,10.2,10.0,9.8,9.6,9.4,9.2,9.0,8.8,8.6,8.4,8.2,8.0,7.8,7.6,7.4,7.2,7.0,8.0,8.0,8.0,8.0
Israel,11.0,10.8,10.6,10.4,10.2,10.0,9.6,9.2,8.8,8.4,8.0,7.8,7.6,7.4,7.2,7.0,6.8,6.6,6.4,6.2,6.0,6.0,5.0,5.0,5.0
Italy,8.0,7.8,7.6,7.4,7.2,7.0,6.6,6.2,5.8,5.4,5.0,4.8,4.6,4.4,4.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Jamaica,79.0,79.4,79.8,80.2,80.6,81.0,82.6,84.2,85.8,87.4,89.0,89.6,90.2,90.8,91.4,92.0,92.2,92.4,92.6,92.8,93.0,93.0,92.0,91.0,90.0
Japan,14.0,13.4,12.8,12.2,11.6,11.0,10.8,10.6,10.4,10.2,10.0,9.4,8.8,8.2,7.6,7.0,6.8,6.6,6.4,6.2,6.0,6.0,6.0,6.0,6.0
Jordan,110.0,106.6,103.2,99.8,96.4,93.0,89.8,86.6,83.4,80.2,77.0,74.0,71.0,68.0,65.0,62.0,61.4,60.8,60.2,59.6,59.0,59.0,59.0,59.0,59.0
Kazakhstan,78.0,80.8,83.6,86.4,89.2,92.0,86.6,81.2,75.8,70.4,65.0,60.8,56.6,52.4,48.2,44.0,39.2,34.4,29.6,24.8,20.0,17.0,15.0,13.0,12.0
Kenya,687.0,689.2,691.4,693.6,695.8,698.0,710.2,722.4,734.6,746.8,759.0,752.8,746.6,740.4,734.2,728.0,703.4,678.8,654.2,629.6,605.0,584.0,562.0,540.0,525.0
Kiribati,234.0,228.6,223.2,217.8,212.4,207.0,198.8,190.6,182.4,174.2,166.0,159.8,153.6,147.4,141.2,135.0,129.8,124.6,119.4,114.2,109.0,105.0,101.0,96.0,93.0
Korea (Democratic People's Rep. of),75.0,76.2,77.4,78.6,79.8,81.0,90.4,99.8,109.2,118.6,128.0,123.4,118.8,114.2,109.6,105.0,103.4,101.8,100.2,98.6,97.0,95.0,91.0,87.0,85.0
Korea (Republic of),21.0,20.6,20.2,19.8,19.4,19.0,18.4,17.8,17.2,16.6,16.0,15.6,15.2,14.8,14.4,14.0,14.2,14.4,14.6,14.8,15.0,14.0,13.0,12.0,12.0
Kuwait,7.0,7.4,7.8,8.2,8.6,9.0,8.6,8.2,7.8,7.4,7.0,6.8,6.6,6.4,6.2,6.0,5.8,5.6,5.4,5.2,5.0,4.0,4.0,4.0,4.0
Kyrgyzstan,80.0,82.4,84.8,87.2,89.6,92.0,88.4,84.8,81.2,77.6,74.0,76.2,78.4,80.6,82.8,85.0,84.8,84.6,84.4,84.2,84.0,87.0,81.0,79.0,77.0
Lao People's Democratic Republic,905.0,863.0,821.0,779.0,737.0,695.0,665.2,635.4,605.6,575.8,546.0,520.4,494.8,469.2,443.6,418.0,393.2,368.4,343.6,318.8,294.0,271.0,250.0,230.0,213.0
Latvia,48.0,49.2,50.4,51.6,52.8,54.0,49.2,44.4,39.6,34.8,30.0,28.4,26.8,25.2,23.6,22.0,21.4,20.8,20.2,19.6,19.0,21.0,18.0,18.0,18.0
Lebanon,74.0,70.0,66.0,62.0,58.0,54.0,51.6,49.2,46.8,44.4,42.0,39.0,36.0,33.0,30.0,27.0,25.4,23.8,22.2,20.6,19.0,18.0,17.0,16.0,16.0
Lesotho,629.0,608.2,587.4,566.6,545.8,525.0,549.8,574.6,599.4,624.2,649.0,668.4,687.8,707.2,726.6,746.0,714.2,682.4,650.6,618.8,587.0,555.0,549.0,532.0,513.0
Liberia,1500.0,1560.0,1620.0,1680.0,1740.0,1800.0,1694.0,1588.0,1482.0,1376.0,1270.0,1220.0,1170.0,1120.0,1070.0,1020.0,978.2,936.4,894.6,852.8,811.0,798.0,787.0,762.0,741.0
Libya,39.0,36.2,33.4,30.6,27.8,25.0,23.4,21.8,20.2,18.6,17.0,15.8,14.6,13.4,12.2,11.0,10.6,10.2,9.8,9.4,9.0,9.0,9.0,9.0,9.0
Lithuania,29.0,28.8,28.6,28.4,28.2,28.0,25.6,23.2,20.8,18.4,16.0,15.2,14.4,13.6,12.8,12.0,11.4,10.8,10.2,9.6,9.0,11.0,10.0,10.0,10.0
Luxembourg,12.0,12.2,12.4,12.6,12.8,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.6,12.2,11.8,11.4,11.0,11.0,11.0,10.0,10.0
