Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Egypt,85.7,81.5,77.3,73.1,68.9,64.7,61.120000000000005,57.54,53.96,50.379999999999995,46.8,44.66,42.519999999999996,40.379999999999995,38.24,36.1,34.68,33.26,31.84,30.42,29.0,27.8,26.7,25.6,24.7,23.7,22.9
El Salvador,59.7,56.68,53.660000000000004,50.64,47.620000000000005,44.6,42.26,39.92,37.58,35.239999999999995,32.9,31.32,29.74,28.16,26.58,25.0,23.88,22.759999999999998,21.64,20.52,19.4,18.4,17.6,16.9,16.2,15.5,15.0
Equatorial Guinea,178.7,177.32,175.94,174.56,173.18,171.8,168.72,165.64000000000001,162.56,159.48000000000002,156.4,152.08,147.76000000000002,143.44,139.12,134.8,130.54000000000002,126.28,122.02000000000001,117.76,113.5,109.8,106.4,102.8,99.3,96.0,92.8
Eritrea,150.8,143.94,137.08,130.22,123.36,116.5,110.88,105.26,99.64,94.02000000000001,88.4,84.52000000000001,80.64,76.76,72.88,69.0,66.26,63.519999999999996,60.78,58.04,55.3,53.2,51.3,49.4,47.6,46.1,44.5
Estonia,17.7,17.3,16.9,16.5,16.099999999999998,15.7,14.76,13.82,12.879999999999999,11.94,11.0,10.22,9.44,8.66,7.88,7.1,6.58,6.06,5.54,5.02,4.5,4.2,3.9,3.6,3.3,3.1,2.9
Eswatini (Kingdom of),68.6,72.94,77.28,81.62,85.96,90.3,97.46,104.61999999999999,111.78,118.94,126.1,126.67999999999999,127.25999999999999,127.84,128.42,129.0,121.78,114.56,107.34,100.12,92.9,81.4,70.1,65.7,62.2,57.8,56.3
Ethiopia,202.0,196.24,190.48,184.72,178.95999999999998,173.2,167.07999999999998,160.95999999999998,154.83999999999997,148.72,142.6,136.28,129.96,123.64,117.32,111.0,105.54,100.08,94.62,89.16,83.7,79.2,75.1,71.2,67.5,64.2,61.2
Fiji,29.1,28.26,27.42,26.58,25.74,24.9,24.5,24.099999999999998,23.7,23.299999999999997,22.9,22.939999999999998,22.98,23.02,23.060000000000002,23.1,23.28,23.46,23.64,23.82,24.0,24.0,24.0,24.1,24.3,24.6,25.0
Finland,6.7,6.4,6.1000000000000005,5.800000000000001,5.5,5.2,5.0200000000000005,4.84,4.66,4.4799999999999995,4.3,4.18,4.06,3.94,3.8200000000000003,3.7,3.56,3.42,3.2800000000000002,3.14,3.0,2.9,2.8,2.6,2.5,2.4,2.3
France,9.0,8.5,8.0,7.5,7.0,6.5,6.28,6.0600000000000005,5.84,5.62,5.4,5.24,5.08,4.92,4.76,4.6,4.52,4.4399999999999995,4.36,4.28,4.2,4.2,4.1,4.1,4.1,4.2,4.2
Gabon,92.4,91.60000000000001,90.80000000000001,90.0,89.2,88.4,87.34,86.28,85.22,84.16,83.1,81.38,79.66,77.94,76.22,74.5,72.26,70.02,67.78,65.53999999999999,63.3,61.2,59.0,56.9,54.6,52.5,50.1
Gambia,170.1,164.48,158.85999999999999,153.24,147.62,142.0,137.28,132.56,127.84,123.12,118.4,114.22,110.04,105.86,101.68,97.5,94.16,90.82,87.47999999999999,84.14,80.8,78.0,75.3,72.8,70.2,67.9,65.8
Georgia,47.7,46.96,46.22,45.480000000000004,44.74,44.0,42.28,40.56,38.84,37.12,35.4,33.199999999999996,31.0,28.799999999999997,26.599999999999998,24.4,22.84,21.28,19.72,18.16,16.6,15.5,14.5,13.6,12.8,12.1,11.4
Germany,8.5,8.1,7.7,7.3,6.9,6.5,6.28,6.0600000000000005,5.84,5.62,5.4,5.260000000000001,5.12,4.98,4.84,4.7,4.6000000000000005,4.5,4.4,4.3,4.2,4.1,4.0,4.0,3.9,3.9,3.8
